0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:49 +0530] "GET / HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:49:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "OPTIONS /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "OPTIONS /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:55 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3 HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [11/Sep/2025:14:52:56 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10457
