0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:39 +0530] "GET /server/api/authn/status HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:48 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:48 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:48 +0530] "POST /server/api/authn/login HTTP/1.1" 401 160
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:52 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:53 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:53 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:53 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:53 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [21/Oct/2025:13:19:53 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
