0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:07 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:08 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "OPTIONS /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "OPTIONS /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3 HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/authn/status HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/eperson/epersons/180b106d-f129-404c-8117-914efdeb83e3/groups HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
